Model,File,Optimal k / Params,Silhouette Score,Calinski-Harabasz,Davies-Bouldin
HDBSCAN (variant 1),hdbscan_model_optimal.joblib,5,0.35473376339251694,326.8712335252852,0.9351614153748431
K-Means,kmeans_model_k3.joblib,3,0.2222928925233312,459.23578578213596,1.724729248969746
Spectral,spectral_model_k3.joblib,3,0.21416150602277165,429.27521124114253,1.713225942531076
Fuzzy C-Means,fuzzy_model_results_k3.joblib,3,0.1981482651551823,442.79077396966545,1.940675159177897
Hierarchical,hierarchical_model_k3.joblib,3,0.19711278159682705,394.5606982586052,1.7051345538087717
Fuzzy C-Means (variant 1),fuzzy_model_results_k2.joblib,2,0.17075431448097353,385.442867827648,2.4599068312315198
SOM,som_model.joblib,2,0.16896547881949756,353.8803559623088,2.491432528597422
GMM,gmm_model_k3.joblib,3,0.14069829852583762,326.84211705346,2.258533580821547
HDBSCAN,hdbscan_model_k3_approx.joblib,3,0.005382759106968444,26.04277014872098,1.1127028906689296
DBSCAN (variant 1),dbscan_model_eps0.30_ms5.joblib,2,-0.0032020917560081287,3.984121802455355,2.3067126618817375
GMM (variant 1),gmm_model_k14.joblib,14,-0.14321568677024796,110.19804105184635,2.430153442136059
DBSCAN,dbscan_model_eps0.39_ms5.joblib,1,,,
